epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.1434,2.14634,0.93766,0.99084,0.33877,8.95135e-05,8.95135e-05,8.95135e-05
2,34.9733,0.28772,0.9793,0.99517,0.08559,0.00017359,0.00017359,0.00017359
3,42.8398,0.15515,0.98516,0.99779,0.05813,0.000251726,0.000251726,0.000251726
4,50.2582,0.11359,0.99092,0.99898,0.03857,0.00024327,0.00024327,0.00024327
5,57.8245,0.09536,0.99423,0.99915,0.02591,0.00023436,0.00023436,0.00023436
6,65.3234,0.07477,0.99466,0.99915,0.02123,0.00022545,0.00022545,0.00022545
7,72.7988,0.06397,0.99517,1,0.01865,0.00021654,0.00021654,0.00021654
8,80.3042,0.05965,0.99457,1,0.01655,0.00020763,0.00020763,0.00020763
9,87.867,0.04822,0.99788,1,0.01163,0.00019872,0.00019872,0.00019872
10,95.3354,0.04885,0.99635,1,0.01111,0.00018981,0.00018981,0.00018981
11,102.818,0.04473,0.99813,1,0.00797,0.0001809,0.0001809,0.0001809
12,110.261,0.04214,0.99788,1,0.0088,0.00017199,0.00017199,0.00017199
13,117.797,0.03443,0.99805,1,0.00611,0.00016308,0.00016308,0.00016308
14,125.375,0.03581,0.9983,1,0.00518,0.00015417,0.00015417,0.00015417
15,132.935,0.03044,0.99873,1,0.0045,0.00014526,0.00014526,0.00014526
16,140.628,0.03171,0.99941,1,0.00285,0.00013635,0.00013635,0.00013635
17,148.248,0.02463,0.99856,1,0.00323,0.00012744,0.00012744,0.00012744
18,155.699,0.02637,0.99975,1,0.00276,0.00011853,0.00011853,0.00011853
19,163.28,0.0245,0.99932,1,0.00254,0.00010962,0.00010962,0.00010962
20,170.846,0.02315,0.99898,1,0.00283,0.00010071,0.00010071,0.00010071
21,214.798,0.02913,0.99907,1,0.00289,9.18e-05,9.18e-05,9.18e-05
22,222.556,0.02295,0.99881,1,0.00336,8.289e-05,8.289e-05,8.289e-05
23,230.02,0.018,0.9989,1,0.00292,7.398e-05,7.398e-05,7.398e-05
24,237.583,0.0173,0.99941,1,0.0018,6.507e-05,6.507e-05,6.507e-05
25,245.142,0.01803,0.99941,1,0.0018,5.616e-05,5.616e-05,5.616e-05
26,252.851,0.01949,0.99992,1,0.00098,4.725e-05,4.725e-05,4.725e-05
27,260.379,0.01665,0.99966,1,0.00123,3.834e-05,3.834e-05,3.834e-05
28,267.966,0.01559,0.99966,1,0.00115,2.943e-05,2.943e-05,2.943e-05
29,275.42,0.01517,0.99975,1,0.00101,2.052e-05,2.052e-05,2.052e-05
30,282.962,0.0127,0.99983,1,0.00094,1.161e-05,1.161e-05,1.161e-05
