epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.3354,1.92376,0.82145,0.98436,0.56902,0.000174375,0.000174375,0.000174375
2,21.3189,0.61337,0.92009,0.99803,0.24705,0.000342784,0.000342784,0.000342784
3,31.3848,0.44135,0.93538,0.99923,0.18683,0.00050425,0.00050425,0.00050425
4,41.4653,0.38715,0.94726,0.99923,0.14964,0.000494756,0.000494756,0.000494756
5,51.4154,0.32965,0.96154,0.99991,0.11738,0.000484341,0.000484341,0.000484341
6,61.5084,0.28398,0.97239,0.99991,0.08245,0.000473926,0.000473926,0.000473926
7,72.3523,0.26447,0.9747,1,0.07673,0.000463511,0.000463511,0.000463511
8,81.8065,0.24694,0.9812,0.99991,0.05859,0.000453096,0.000453096,0.000453096
9,90.8769,0.22353,0.98274,1,0.05322,0.000442682,0.000442682,0.000442682
10,99.8184,0.20512,0.98427,1,0.04873,0.000432267,0.000432267,0.000432267
11,111.984,0.19268,0.98179,0.99991,0.05374,0.000421852,0.000421852,0.000421852
12,121.424,0.18715,0.98684,1,0.04123,0.000411437,0.000411437,0.000411437
13,130.206,0.17137,0.98265,1,0.04989,0.000401022,0.000401022,0.000401022
14,139.618,0.17919,0.98744,1,0.03934,0.000390608,0.000390608,0.000390608
15,150.805,0.1666,0.99026,1,0.03101,0.000380193,0.000380193,0.000380193
16,160.532,0.15873,0.99205,0.99991,0.02666,0.000369778,0.000369778,0.000369778
17,170.996,0.14124,0.98855,0.99991,0.03781,0.000359363,0.000359363,0.000359363
18,179.473,0.14869,0.98761,1,0.03617,0.000348948,0.000348948,0.000348948
19,189.211,0.13387,0.99154,0.99991,0.02914,0.000338534,0.000338534,0.000338534
20,199.234,0.12963,0.99068,1,0.02814,0.000328119,0.000328119,0.000328119
21,209.233,0.12568,0.99393,0.99991,0.01961,0.000317704,0.000317704,0.000317704
22,219.197,0.11366,0.99393,0.99991,0.01973,0.000307289,0.000307289,0.000307289
23,229.062,0.10956,0.99521,0.99991,0.01793,0.000296874,0.000296874,0.000296874
24,238.984,0.11233,0.99538,1,0.01518,0.00028646,0.00028646,0.00028646
25,249.028,0.11689,0.99436,1,0.01803,0.000276045,0.000276045,0.000276045
26,259.31,0.10806,0.99641,1,0.01265,0.00026563,0.00026563,0.00026563
27,269.799,0.10171,0.99632,1,0.01262,0.000255215,0.000255215,0.000255215
28,281.594,0.09274,0.99684,1,0.01287,0.0002448,0.0002448,0.0002448
29,291.635,0.09193,0.99709,1,0.01041,0.000234386,0.000234386,0.000234386
30,300.063,0.0883,0.99581,1,0.01289,0.000223971,0.000223971,0.000223971
31,309.338,0.08453,0.99692,1,0.01084,0.000213556,0.000213556,0.000213556
32,318.979,0.07622,0.99718,1,0.00916,0.000203141,0.000203141,0.000203141
33,328.636,0.07724,0.99692,1,0.00944,0.000192726,0.000192726,0.000192726
34,338.02,0.06893,0.99761,1,0.00897,0.000182312,0.000182312,0.000182312
35,347.453,0.07083,0.99769,1,0.00878,0.000171897,0.000171897,0.000171897
36,357.14,0.06715,0.99778,1,0.00766,0.000161482,0.000161482,0.000161482
37,366.969,0.07018,0.99769,1,0.00596,0.000151067,0.000151067,0.000151067
38,381.835,0.06217,0.99838,1,0.00569,0.000140652,0.000140652,0.000140652
39,409.515,0.06453,0.99803,1,0.00614,0.000130238,0.000130238,0.000130238
40,424.533,0.06204,0.99786,1,0.00714,0.000119823,0.000119823,0.000119823
