epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.375,2.04836,0.76256,0.97145,0.7537,0.000174375,0.000174375,0.000174375
2,22.8394,0.77258,0.88453,0.99479,0.34956,0.000342784,0.000342784,0.000342784
3,32.589,0.55445,0.89735,0.99692,0.3134,0.00050425,0.00050425,0.00050425
4,42.2685,0.50736,0.90051,0.99786,0.28081,0.000494756,0.000494756,0.000494756
5,51.8692,0.41791,0.94803,0.99957,0.16084,0.000484341,0.000484341,0.000484341
6,61.5398,0.36918,0.94419,0.99974,0.15835,0.000473926,0.000473926,0.000473926
7,71.051,0.3458,0.95034,0.99932,0.15451,0.000463511,0.000463511,0.000463511
8,80.609,0.30899,0.96692,0.99974,0.09896,0.000453096,0.000453096,0.000453096
9,90.3556,0.29028,0.97017,0.99991,0.08951,0.000442682,0.000442682,0.000442682
10,100.055,0.25832,0.97111,1,0.08371,0.000432267,0.000432267,0.000432267
11,109.777,0.26209,0.97624,1,0.07248,0.000421852,0.000421852,0.000421852
12,119.51,0.22666,0.97,0.99974,0.08386,0.000411437,0.000411437,0.000411437
13,129.299,0.21974,0.9747,0.99991,0.073,0.000401022,0.000401022,0.000401022
14,138.936,0.2115,0.97718,0.99991,0.0689,0.000390608,0.000390608,0.000390608
15,148.584,0.21227,0.97897,1,0.06443,0.000380193,0.000380193,0.000380193
16,158.3,0.20939,0.98368,1,0.04909,0.000369778,0.000369778,0.000369778
17,167.876,0.17504,0.9847,1,0.04915,0.000359363,0.000359363,0.000359363
18,177.677,0.17918,0.98402,1,0.04934,0.000348948,0.000348948,0.000348948
19,187.359,0.18746,0.98658,1,0.03978,0.000338534,0.000338534,0.000338534
20,196.874,0.16435,0.98692,1,0.03947,0.000328119,0.000328119,0.000328119
21,206.531,0.1654,0.98752,1,0.03689,0.000317704,0.000317704,0.000317704
22,216.468,0.15447,0.98838,1,0.03585,0.000307289,0.000307289,0.000307289
23,226.623,0.14299,0.99068,1,0.02897,0.000296874,0.000296874,0.000296874
24,236.844,0.15241,0.99256,1,0.02498,0.00028646,0.00028646,0.00028646
25,246.645,0.13806,0.99034,1,0.03043,0.000276045,0.000276045,0.000276045
26,256.538,0.14307,0.99103,1,0.02833,0.00026563,0.00026563,0.00026563
27,266.253,0.13214,0.99239,1,0.02476,0.000255215,0.000255215,0.000255215
28,276.264,0.11723,0.99214,1,0.02468,0.0002448,0.0002448,0.0002448
29,286.318,0.12345,0.99299,1,0.02391,0.000234386,0.000234386,0.000234386
30,296.054,0.1129,0.99462,1,0.01929,0.000223971,0.000223971,0.000223971
31,306.082,0.11049,0.9953,1,0.01828,0.000213556,0.000213556,0.000213556
32,316.966,0.10499,0.99581,1,0.01558,0.000203141,0.000203141,0.000203141
33,327.219,0.109,0.99462,1,0.01821,0.000192726,0.000192726,0.000192726
34,337.655,0.10257,0.9953,1,0.01489,0.000182312,0.000182312,0.000182312
35,347.98,0.0888,0.99615,1,0.01278,0.000171897,0.000171897,0.000171897
36,358.603,0.09231,0.99615,1,0.01384,0.000161482,0.000161482,0.000161482
37,369.272,0.08139,0.99692,1,0.01153,0.000151067,0.000151067,0.000151067
38,379.976,0.08244,0.99735,1,0.0108,0.000140652,0.000140652,0.000140652
39,390.581,0.08069,0.99692,1,0.01184,0.000130238,0.000130238,0.000130238
40,400.661,0.08293,0.99692,1,0.01093,0.000119823,0.000119823,0.000119823
41,447.892,0.06811,0.99675,1,0.01085,0.000109408,0.000109408,0.000109408
42,458.011,0.07973,0.99769,1,0.01028,9.89932e-05,9.89932e-05,9.89932e-05
43,468.133,0.06811,0.99744,1,0.00887,8.85784e-05,8.85784e-05,8.85784e-05
44,478.161,0.06574,0.99761,1,0.00883,7.81636e-05,7.81636e-05,7.81636e-05
45,488.131,0.06679,0.99786,1,0.00843,6.77488e-05,6.77488e-05,6.77488e-05
46,498.093,0.06313,0.99744,1,0.00867,5.7334e-05,5.7334e-05,5.7334e-05
47,508.005,0.05779,0.99769,1,0.00835,4.69192e-05,4.69192e-05,4.69192e-05
48,518.599,0.06525,0.99735,1,0.00803,3.65044e-05,3.65044e-05,3.65044e-05
49,528.81,0.05898,0.99761,1,0.00814,2.60896e-05,2.60896e-05,2.60896e-05
50,539.137,0.05975,0.99786,1,0.0076,1.56748e-05,1.56748e-05,1.56748e-05
