epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.3053,3.27174,0.49265,0.79412,2.35807,8.74286e-05,8.74286e-05,8.74286e-05
2,33.4907,1.73722,0.86765,0.98529,0.72412,0.000165718,0.000165718,0.000165718
3,80.4262,0.73778,0.94853,1,0.30518,0.000232128,0.000232128,0.000232128
4,141.8,0.38052,0.97059,1,0.16634,0.00021654,0.00021654,0.00021654
5,202.605,0.24802,0.98529,1,0.13261,0.00019872,0.00019872,0.00019872
6,337.906,0.1522,0.97426,1,0.07036,0.0001809,0.0001809,0.0001809
7,388.873,0.11765,0.97426,1,0.06242,0.00016308,0.00016308,0.00016308
8,446.086,0.09424,0.97794,1,0.07309,0.00014526,0.00014526,0.00014526
9,504.397,0.09145,0.98897,1,0.05605,0.00012744,0.00012744,0.00012744
10,556.759,0.08486,0.98529,1,0.04355,0.00010962,0.00010962,0.00010962
11,615.66,0.07971,0.98897,1,0.03474,9.18e-05,9.18e-05,9.18e-05
12,668.83,0.07049,0.99265,1,0.02575,7.398e-05,7.398e-05,7.398e-05
13,726.86,0.06275,0.99632,1,0.02875,5.616e-05,5.616e-05,5.616e-05
14,795.941,0.06361,0.99632,1,0.02359,3.834e-05,3.834e-05,3.834e-05
15,851.829,0.06177,0.99632,1,0.02212,2.052e-05,2.052e-05,2.052e-05
